"id","geolocation_as_point.lon","geolocation_as_point.lat","acquisitionTime"
"1161716616",7.74668,49.444237,"01:22:14"
"1161716616",7.746267,49.44405,"01:22:14"
"1161716616",7.745707,49.443756,"01:22:19"
"1161716616",7.744898,49.44297,"01:22:24"
"1161716616",7.744487,49.442417,"01:22:29"
"1161716616",7.744487,49.442417,"01:22:29"
"1161716616",7.743907,49.44215,"01:22:34"
"1161716616",7.742942,49.442,"01:22:39"
"1161716616",7.742277,49.441914,"01:22:44"
"1161716616",7.741573,49.441822,"01:22:44"
"1161716616",7.740337,49.44169,"01:22:49"
"1161716616",7.739593,49.4416,"01:22:54"
"1161716616",7.738345,49.44146,"01:22:59"
"1161716616",7.738345,49.44146,"01:22:59"
"1161716616",7.73786,49.441544,"01:23:04"
"1161716616",7.737532,49.44201,"01:23:09"
"1161716616",7.737038,49.442677,"01:23:14"
"1161716616",7.737038,49.442677,"01:23:14"
"1161716616",7.736513,49.44337,"01:23:19"
"1161716616",7.73589,49.443913,"01:23:24"
"1161716616",7.735048,49.44428,"01:23:29"
"1161716616",7.735048,49.44428,"01:23:29"
"1161716616",7.73412,49.444633,"01:23:34"
"1161716616",7.733433,49.444912,"01:23:39"
"1161716616",7.732665,49.44504,"01:23:44"
"1161716616",7.732665,49.44504,"01:23:44"
"1161716616",7.731872,49.444546,"01:23:49"
"1161716616",7.73104,49.444023,"01:23:54"
"1161716616",7.730502,49.44372,"01:23:59"
"1161716616",7.730502,49.44372,"01:23:59"
"1161716616",7.729288,49.44342,"01:24:04"
"1161716616",7.728218,49.44328,"01:24:09"
"1161716616",7.727568,49.443195,"01:24:14"
"1161716616",7.726918,49.443104,"01:24:14"
"1161716616",7.72627,49.443012,"01:24:19"
"1161716616",7.724927,49.44282,"01:24:24"
"1161716616",7.723638,49.442505,"01:24:29"
"1161716616",7.723638,49.442505,"01:24:29"
"1161716616",7.722613,49.44264,"01:24:34"
"1161716616",7.721372,49.44259,"01:24:39"
"1161716616",7.720125,49.442543,"01:24:44"
"1161716616",7.720125,49.442543,"01:24:44"
"1161716616",7.71886,49.44248,"01:24:49"
"1161716616",7.717645,49.442356,"01:24:54"
"1161716616",7.71694,49.442253,"01:24:59"
"1161716616",7.716248,49.442135,"01:24:59"
"1161716616",7.715357,49.441986,"01:25:04"
"1161716616",7.714015,49.44179,"01:25:09"
"1161716616",7.713568,49.441727,"01:25:14"
"1161716616",7.7129,49.441624,"01:25:14"
"1161716616",7.712228,49.44151,"01:25:19"
"1161716616",7.711158,49.44134,"01:25:24"
"1161716616",7.710062,49.441437,"01:25:29"
"1161716616",7.710062,49.441437,"01:25:29"
"1161716616",7.7091,49.4418,"01:25:34"
"1161716616",7.708062,49.442146,"01:25:39"
"1161716616",7.70778,49.442184,"01:25:44"
"1161716616",7.707482,49.44219,"01:25:44"
"1161716616",7.7072,49.44214,"01:25:59"
